id,name,about,network,followersCount,proposalsCount,gov_model,turnout_rate_proxy,log_followers,tally_proposals,tally_votes,voters_90d,token_holders
superwalk.eth,SuperWalk,Web3 HealthCare & Move-And-Earn dapp with 300k+ users,1,15,1,hybrid,0.06666666666666667,2.772588722239781,,,,
profit.beefy.eth,Beefy Profit Distribution,This space empowers holders of Beefy's BIFI token to decide on the distribution of the Beefy DAO's profits.,1,120,5,hybrid,0.041666666666666664,4.795790545596741,,,,
tradingarmoriondirective.eth,Trading Arm Orion Directive,The Trading Arm of the Orion Directive,369,4,4,hybrid,1.0,1.6094379124341003,,,,
yieldarmoriondirective.eth,Yield Arm Orion Directive,The Yield Arm for the Orion Directive,369,3,12,hybrid,1.0,1.3862943611198906,,,,
liquidityarmoriondirective.eth,Liquidity Arm Orion Directive,The liquidity arm of the Orion Directive,369,11,20,hybrid,1.0,2.4849066497880004,,,,
daoofagents.eth,DAO of Agents (DoA),DAO of Agents (DoA) is the first decentralized organization that combines the power of the community with the intelligence of AI agents,8453,14,5,hybrid,0.35714285714285715,2.70805020110221,,,,
oriondirective.eth,Orion Directive,"The Orion Protocol is built to support financial autonomy through a flexible, community-driven approach.",369,45,6,algorithmic,0.13333333333333333,3.828641396489095,,,,
welf.eth,WELF,"WELF Finance bridges traditional and digital finance, offering HNWIs seamless access to yield-generating, transparent, and liquid investment solutions.",1,1,1,hybrid,1.0,0.6931471805599453,,,,
popartcats.eth,Pop Art Cats,20% of the PAC royalties go to the treasury. PAC owners can submit proposals that become pending for 10 days followed by a 14 days vote. 1 PAC = 1 voting power.,1,274,6,hybrid,0.021897810218978103,5.616771097666572,,,,
odos.eth,Odos DAO,Odos DAO oversees management of the Odos loyalty program and other aspects of the Odos ecosystem,8453,595,5,hybrid,0.008403361344537815,6.39024066706535,,,,
puffer-gauge.eth,Puffer Gauge,Snapshot space for Puffer's Gauges,1,103,16,token,0.1553398058252427,4.6443908991413725,,,,
baklavaspace.eth,Baklava Space,Smart Vault. Governance $BAVA.,1,2,1,hybrid,0.5,1.0986122886681098,,,,
cybroio.eth,CYBRO DAO,"Welcome to the official governance space of CYBRO, an AI-powered, multichain yield aggregator.",81457,55,6,hybrid,0.10909090909090909,4.02535169073515,,,,
clvorg.eth,CLV,CLV a new era,1,4,2,hybrid,0.5,1.6094379124341003,,,,
qbio.eth,Quantum Biology DAO,"The Quantum Biology DAO accelerates the quantum biology field through community building, scientific experimentation, research grants and IP development.",1,28,18,hybrid,0.6428571428571429,3.367295829986474,,,,
biohackerdao.eth,BiohackerDAO,"A human enhancement network state 🤖💉🩸
We use data to make superhumans",1,18,10,hybrid,0.5555555555555556,2.9444389791664403,,,,
pearprotocol.eth,Pear Protocol,The home of pair-trading,42161,32,2,hybrid,0.0625,3.4965075614664802,,,,
dogami-allies.eth,DOGAMÍ A.L.L.I.E.S,"DOGAMÍ AL.L.I.E.S: Alliance for Leading Limitless Innovation, Exploration, and Strategy in the DOGAMÍ Ecosystem. Votes are not legally binding.",1,193,2,hybrid,0.010362694300518135,5.267858159063328,,,,
breadnbutterfun.eth,BreadnButter Official,"BreadnButter is a web3 topic-based forum on BNB Chain where Communities, content, and social connections are wholly owned by users.",56,76,7,hybrid,0.09210526315789473,4.343805421853684,,,,
mountolympusdao.eth,Mount Olympus DAO,"The official voting venue of the Mount Olympus DAO, home of the robots. ",1,26,7,hybrid,0.2692307692307692,3.295836866004329,,,,
maructo.eth,MARU CTO,"$MARU pays tribute to the legacy of MARUTARO, the famous Shiba Inu with millions of followers worldwide. The community took over this project on October 9th. ",1,24,8,hybrid,0.3333333333333333,3.2188758248682006,,,,
ouroboros-dao.eth,Ouroboros DAO,Multi-collateral Stablecoin provisioning and management DAO,1,37,4,hybrid,0.10810810810810811,3.6375861597263857,,,,
moxie.eth,Moxie Protocol,Moxie is the financial layer of Farcaster.,8453,110,3,hybrid,0.02727272727272727,4.709530201312334,,,,
lordcheems.eth,Lord Cheems,"Your friendly neighbor Lord Cheems on BSC
Contract: 0x0DF0587216a4a1bB7d5082fdc491d93d2dD4B413",56,13,1,hybrid,0.07692307692307693,2.6390573296152584,,,,
seiyantoken.eth,SEIYAN DAO,The original memecoin on SEIYAN,1329,137,5,hybrid,0.0364963503649635,4.927253685157205,,,,
worldlibertyfinancial.com,World Liberty Financial,,1,449,3,hybrid,0.0066815144766146995,6.1092475827643655,,,,
hyperlockfi.eth,Hyperlock Finance,Hyperlock is a yield & metagovernance protocol built on Thruster and optimized for Blast,81457,252,21,hybrid,0.08333333333333333,5.53338948872752,,,,
apecoin.daopunks.eth,DAOpunks - ApeCoin Delegation,ApeCoin Delegation,1,17,24,delegated,1.0,2.8903717578961645,,,,
madebyapesvote.eth,Made By Apes,"Made By Apes was created by Yuga on ApeChain to support and amplify holder-made brands, products, and services that feature BAYC, MAYC, and BAKC IP.",1,188,25,hybrid,0.13297872340425532,5.241747015059643,,,,
black-flag.eth,🏴 Black Flag Collective,We fund IRL events.  More info here: https://blackflagcollective.org/,8453,16,11,hybrid,0.6875,2.833213344056216,,,,
derivexyz.eth,Derive,"Derive is a decentralized protocol that creates unique and programmable onchain options, perpetuals, and structured products.",1,28,8,hybrid,0.2857142857142857,3.367295829986474,,,,
0xgenesisdao.eth,Genesis DAO,Treasury backed community driven DeFi protocol,1,31,1,hybrid,0.03225806451612903,3.4657359027997265,,,,
trippiesdelegation.eth,Trippies Delegation,The Trippies Delegation is dedicated to inspiring builders in the Web3 space and expanding the use cases for ApeCoin. We review proposed initiatives within the ,1,11,29,delegated,1.0,2.4849066497880004,,,,
dopdao.eth,DOP,An innovative approach to data ownership that sets a new standard in blockchain technology.,1,75,3,hybrid,0.04,4.330733340286331,,,,
mcemissary.eth,MCEmissary,"MCEmissary is a dedicated community within the Mutant Cartel ecosystem. We represent and amplify the voices of MAYC, Mutant Hounds, and Mutant Cartel Oaths.",1,22,27,hybrid,1.0,3.1354942159291497,,,,
commudao.eth,CommuDAO,web3 protocol providing on-chain gamification and services for crypto-community. governed by CMDAO governance.,10,15,30,hybrid,1.0,2.772588722239781,,,,
bobacatdao.eth,BobaCat DAO,BobaCat DAO empowers $PSPS token holders to guide our charity efforts and project directions through community-driven proposals and voting.,1,43,5,hybrid,0.11627906976744186,3.784189633918261,,,,
unlock-dao.eth,Unlock DAO,"The Unlock DAO is a global community of developers, creators, and organizations dedicated to decentralized access and distribution. ",8453,32,40,hybrid,1.0,3.4965075614664802,,,,
psydao.eth,PsyDAO,Promoting progress in psychedelic Science and Art,1,45,17,hybrid,0.37777777777777777,3.828641396489095,,,,
dackie.eth,DackieSwap,The DackieSwap DAO (Decentralized Autonomous Organization) is a governance framework that allows DACKIE token holders to participate in key decisions that shape,8453,10333,13,algorithmic,0.0012581051001645215,9.24319470884713,,,,
stakersunion.eth,Stakers Union,"The home-stakers collective
Empowering individual stakers, preserving decentralization",1,22,9,hybrid,0.4090909090909091,3.1354942159291497,,,,
smallgrants.apecoingwg.eth,GWG Small Grants,The ApeCoin DAO Governance Working Group is a community-operated entity operating within the ApeCoin ecosystem.,1,22,34,hybrid,1.0,3.1354942159291497,,,,
dinero.xyz,Dinero,"Dinero is a suite of products that scale yield for protocols and users.
",1,977,104,hybrid,0.10644831115660185,6.885509670034818,,,,
listavote.eth,ListaDao,"Enjoy secure, simple and permissionless liquid staking and stablecoin lending solutions",56,1883,21,hybrid,0.011152416356877323,7.5411524551363085,,,,
bnbchain-dao.eth,bnbchain-dao,"Build N Build Chain aka BNB Chain, one of the most popular blockchains in the world, dedicates to delivering its core infrastructure necessary for future public",56,419,4,hybrid,0.00954653937947494,6.040254711277414,,,,
zklink.eth,zkLink,Build on the world’s first ZK Aggregated Layer 3 and access limitless liquidity with zkLink's Rollup solutions.,810180,3822,5,hybrid,0.0013082155939298796,8.248790733696413,,,,
apesplusdao.eth,ApesPlus,A private community-led digital clubhouse for Apes & extended Yugaverse. Here to give BAYC and MAYC a collective input in the ApeCoin DAO.,1,82,50,hybrid,0.6097560975609756,4.418840607796598,,,,
wormholegovernance.eth,Wormhole,The official Snapshot space for Wormhole Governance,1,20,1,token,0.05,3.044522437723423,,,,
ancient8fdn.eth,Ancient8,,1,57,0,hybrid,,4.060443010546419,,,,
pc.blastfoundation.eth,Blast Progress Council,,81457,15,2,hybrid,0.13333333333333333,2.772588722239781,,,,
greenpilldevguild.eth,Greenpill Dev Guild,The Greenpill Dev Guild is centered around building regenerative software applications for Chapters and the regen space at large.,10,8,1,hybrid,0.125,2.1972245773362196,,,,
zarosfi.eth,Zaros Governance,,1,37,7,hybrid,0.1891891891891892,3.6375861597263857,,,,
blastfoundation.eth,Blast,The L2 with native yield. ,81457,150,2,hybrid,0.013333333333333334,5.017279836814924,,,,
diodefoundation.eth,Diode Community DAO,Worldwide secure communications via the Diode Network,1,7,19,hybrid,1.0,2.0794415416798357,,,,
big-care.lisafoundation.eth,Big Care by LISA Foundation,"In this space, collectors of Big Care by FVCKRENDER on LISA Foundation can make governance proposals and decisions.",1,4,1,hybrid,0.25,1.6094379124341003,,,,
ultravioletadao.eth,Ultravioleta DAO,"la elite de web3 en latam, empoderando  e iluminando el camino de comunidades online hacia un nuevo sistema financiero en el que todo el mundo pueda participar",43114,121,84,hybrid,0.6942148760330579,4.804021044733257,,,,
the-alana-project.eth,The ALANA Project,"The ALANA Project is a community of learners, creators, and builders who collaborate to create entertaining and gamified products.",10,12,7,hybrid,0.5833333333333334,2.5649493574615367,,,,
uxlinkcommunity.eth,UXLINK,"UXLINK is a web3 social platform and infrastructure, LINK USERS, LINK DAPPS, LINK X
",42161,46,3,hybrid,0.06521739130434782,3.8501476017100584,,,,
stp.eth,AWE Network,"Opening the portal to Autonomous Worlds where AI Agents collaborate, adapt and evolve.",8453,1020,12,algorithmic,0.011764705882352941,6.928537818164665,,,,
common-wealth.eth,Common Wealth,CW is an early stage investment system for everyone - creating an all-access pass for retail investors to take control of their financial future. ,8453,50,14,hybrid,0.28,3.9318256327243257,,,,
peapodssnapshot.eth,Peapods Finance,Peapods is a permissionless DeFi platform offering sustainable yield on any asset through 'Volatility Farming.',42161,5,12,hybrid,1.0,1.791759469228055,,,,
holographxyz.eth,Holograph,"Holograph is an omnichain tokenization protocol, enabling asset issuers to mint natively composable omnichain tokens.",1,99,1,hybrid,0.010101010101010102,4.605170185988092,,,,
fomoclub.eth,Fomo Club,Nothing special.,56,1174,8,hybrid,0.0068143100511073255,7.069023426578259,,,,
tlbank.banklessvault.eth,tlBANK Snapshot,Snapshot space for BanklessDAO tlBANK voters.,1,68,15,token,0.22058823529411764,4.23410650459726,,,,
pactfoundation.eth,PACT,"Transforming credit around the corner and across the world by originating, structuring, and financing on‑chain credit in emerging markets.",42220,22,3,hybrid,0.13636363636363635,3.1354942159291497,,,,
optimismtownhall.eth,Optimism Town Hall,A collaborative space for discussions about the Optimism Collective and Superchain. Learn more and join the events at lu.ma/optimismtownhall. ,10,38,62,hybrid,1.0,3.6635616461296463,,,,
sandboxdao.eth,The Sandbox DAO,"Sandbox Improvement Proposals (SIP) are live every other Wednesday at 9 a.m. CET for 14 days. 
SIP are discussed on the forum in ""SIP: Active""'",1,14103,35,hybrid,0.0024817414734453662,9.554213724077707,,,,
2720.eth,Buddha DAO,"Welcome to BuddhaDAO, a self-sustaining decentalized oasis for self-exploration, mindful investing, spirituality, and connections. ",1,10,3,hybrid,0.3,2.3978952727983707,,,,
bmxonbase.eth,BMX,"Trade over 300+ cryptocurrencies and any onchain media with BMX, while accessing the power of composable liquidity.",8453,30,24,hybrid,0.8,3.4339872044851463,,,,
muitofinance.eth,Muito Finance ,Muito Finance is a yield aggregator on Mantle that provides a variety of strategies to users of all risk preferences.,5000,29,10,hybrid,0.3448275862068966,3.4011973816621555,,,,
goverland.eth,Goverland,Goverland is a mobile app for all DAOs that takes governance UX to the next level for DAO participants.,1,7,1,hybrid,0.14285714285714285,2.0794415416798357,,,,
polterfinance.eth,Polter Finance,,146,86,13,hybrid,0.1511627906976744,4.465908118654584,,,,
cerebrumdao.eth,Cerebrum DAO,"We are a network organization collectively researching, financing, and commercializing research to extend brain health in an open and democratic manner.",1,83,18,hybrid,0.21686746987951808,4.430816798843313,,,,
1uptokyo.eth,1UP,,1,11,52,hybrid,1.0,2.4849066497880004,,,,
weirdobase.eth,WeirDAO,"da mission is to unite the weirdest weirdos (69m+ of dem), to da super based chain",8453,148,13,hybrid,0.08783783783783784,5.003946305945459,,,,
ethenagovernance.eth,Ethena,"Ethena is a synthetic dollar protocol built on Ethereum that provides a crypto-native solution for money, achieved by delta-hedging ETH and BTC collateral.",1,468,4,hybrid,0.008547008547008548,6.150602768446279,,,,
fomobase.eth,FOMO,$FOMO made me do it. The coin with 100% liquidity locked for 69 years. ,8453,14,1,hybrid,0.07142857142857142,2.70805020110221,,,,
karrat.eth,KARRATco,"The official snapshot for the KarratCoin Community. Committed to building and supporting a vibrant gaming, entertainment, and AI ecosystem for developers.",1,56,23,token,0.4107142857142857,4.04305126783455,,,,
reserveprotocol.eth,Reserve,"Reserve’s goal is to fight inflation and expand access to better financial products like DTFs (Decentralized Token Folios), which are onchain indexes like ETFs",1,26,4,hybrid,0.15384615384615385,3.295836866004329,,,,
kumatokens.eth,KUMA DAO,"Kuma Inu ( $KUMA / $dKUMA )
Community Driven DeFi ecosystem created by a $SHIB/$LEASH developer.
Stake your meme tokens and claim $dKuma rewards.",1,69,20,hybrid,0.2898550724637681,4.248495242049359,,,,
mixin-autonomous-organization.eth,Mixin Autonomous Organization,MAO governs all about Mixin Network.,1,2925,7,algorithmic,0.002393162393162393,7.98139158158007,,,,
honeypotfi.eth,Honeypot Finance,"PoL Accelerator on @Berachain 🐻⛓🍯
https://discord.gg/2G6UZSqYtg",1,230,2,hybrid,0.008695652173913044,5.442417710521793,,,,
eventhorizongitcoin.eth,Event Horizon Gitcoin,"Public Good, Public-Access Governance Pool

Proposals requiring Gitcoin Passport",1,30,55,hybrid,1.0,3.4339872044851463,,,,
swarmfoundation.eth,Swarm Foundation,"Swarm is a decentralised data storage and distribution technology. Ready to power the next generation of censorship-resistant, unstoppable, serverless dapps.",1,2613,1,hybrid,0.0003827018752391887,7.868636894184167,,,,
dehedge.eth,deHedge,"A new multi-chain decentralized finance (Defi) protocol offering innovative yield generation, backed by tangible real-world assets.",42161,44,26,hybrid,0.5909090909090909,3.8066624897703196,,,,
k9safe.eth,K9 Finance DAO,Governing the K9 Finance DAO treasury and liquid staking protocol for Shibarium.,1,176,24,hybrid,0.13636363636363635,5.176149732573829,,,,
ideation.shapeshiftdao.eth,ShapeShift Ideation,A minimum FOX Voting power needed can publish ideation posts. 7 days eligible.  (https://forum.shapeshift.com/t/workstream-proposal-scp-template/3249),1,43,28,hybrid,0.6511627906976745,3.784189633918261,,,,
cadabradao.eth,Cadabra Finance,,146,12,4,hybrid,0.3333333333333333,2.5649493574615367,,,,
nounsamigos.eth,Nouns Amigos,La comunidad de Nouns en español ⌐◨-◨,1,94,38,hybrid,0.40425531914893614,4.553876891600541,,,,
mintodao.eth,Minto DAO,Minto tokenizes mining power and allows mining Bitcoin by staking BTCMT token. Community discussion here: https://t.me/btcmtofficialchat,56,11,2,hybrid,0.18181818181818182,2.4849066497880004,,,,
joelube.eth,LUBE,"We are bald. We are elite. We are billionaires. We look just like Joseph Lubin, the co-founder of Ethereum, Metamask and Linea.",1,48,1,hybrid,0.020833333333333332,3.8918202981106265,,,,
opaldefi.eth,Opal DeFi,"Opal is a set and forget, user friendly and diversified access to sophisticated farming strategies on major crypto assets.",1,22,140,hybrid,1.0,3.1354942159291497,,,,
mendifinance.eth,Mendi Finance,Mendi Finance is a decentralized lending and borrowing protocol. ,59144,660,28,hybrid,0.04242424242424243,6.493753839851686,,,,
arbiusdao.eth,Arbius,Arbius is a decentralized network for machine learning and a token with a fixed supply like Bitcoin. New coins are generated with GPU power.,1,41,4,hybrid,0.0975609756097561,3.7376696182833684,,,,
heurist.eth,Heurist Protocol,"Heurist is a decentralized AI cloud, built upon a layer-2 blockchain",1,93,11,hybrid,0.11827956989247312,4.543294782270004,,,,
mtpelerin.eth,Mt Pelerin,The Swiss gateway to the crypto world.,1,29,15,hybrid,0.5172413793103449,3.4011973816621555,,,,
toshibase.eth,Toshi: MEOW DAO,MEOW DAO voting: Decentralized governance for all Toshi ecosystem product holders. Upcoming votes will be announced on social media.,8453,446,6,hybrid,0.013452914798206279,6.102558594613569,,,,
itsartifact.eth,Beetle,Artifact3,1,5,1,hybrid,0.2,1.791759469228055,,,,
daobim.eth,BIM,The BIM Token is the governance token for BIM Protocol. ,8453,53,33,hybrid,0.6226415094339622,3.9889840465642745,,,,
pscott.eth,YourDAO,test,1,2,13,hybrid,1.0,1.0986122886681098,,,,
propchaindao.eth,Propchain DAO,Blockchain Ecosystem for Real-World Asset & PropTech Solutions.,1,20,4,hybrid,0.2,3.044522437723423,,,,
altctrl.eth,AltCTRL,"Powerful, all-in-one #DeFi platform built on safe projects, community, and cats.",1,26,5,hybrid,0.19230769230769232,3.295836866004329,,,,
maviavote.eth,Heroes of Mavia,Heroes of Mavia is a Web3 mobile strategy game available on iOS and Android.,8453,9009,4,hybrid,0.000444000444000444,9.106090350602384,,,,
strategysports.eth,Strategy Sports Network DAO,Strategy Sports Network was created by a group of sports fans looking to combine sports and crypto in new innovative ways!,1,19,5,hybrid,0.2631578947368421,2.995732273553991,,,,
opendatacommunity.eth,DataGrants Program for ARB,We help to protect web3 via data analysis and related software,42161,30,17,hybrid,0.5666666666666667,3.4339872044851463,,,,
spacefi-io.eth,SpaceFi,"The DeFi hub on zkSync Era with DEX+NFT+Spacebase+Launchpad, exploring the Layer2 ecosystem.",324,409,1,hybrid,0.0024449877750611247,6.016157159698354,,,,
gov.bloomstudio.eth,Bloom Studio,"Bloom is a decentralized studio creating immersive, expressive games & other audiovisual experiences within a scalable, collective micro-economy",42161,21,42,hybrid,1.0,3.091042453358316,,,,
shutterdao0x36.eth,Shutter DAO 0x36,This is a Snapshot space for Shutter DAO 0x36. Shutter is an anti-frontrunning/malicious MEV protocol using threshold encryption.,1,4174,53,token,0.012697652132247245,8.336869637284956,,,,
0xuncommons.eth,Uncommons,"Crypto Salon for Public Goods Builders.
Uncommons is a public sphere where a collective of public goods builders explores crypto thoughts together.",1,24,32,hybrid,1.0,3.2188758248682006,,,,
nominations.superraredao.eth,RareDAO Council Nominations,Nomination proposals for annual RareDAO Council elections.,1,13,20,hybrid,1.0,2.6390573296152584,,,,
citizenshouse.eth,Citizens' House,,1,224,28,hybrid,0.125,5.41610040220442,,,,
anticapturecommission.eth,Anti-Capture Commission,,10,56,24,hybrid,0.42857142857142855,4.04305126783455,,,,
radpiexyz.eth,Radpie,Maximize your yield on Radiant Capital,1,31,21,hybrid,0.6774193548387096,3.4657359027997265,,,,
argocoin.eth,Devolved AI,"Welcome to AI owned by you. Built on blockchain technology, Devolved AI embodies trust, transparency, and community governance. All powered by #Argocoin.",137,209,33,hybrid,0.15789473684210525,5.3471075307174685,,,,
